location,target,target_end_date,forecast_date,point,quantile
US,1 wk ahead inc case,2020-06-25,2020-06-25,296.1571078472844,NA
US,1 wk ahead inc case,2020-06-26,2020-06-25,284.6005519922069,NA
US,1 wk ahead inc case,2020-06-27,2020-06-25,272.403655458263,NA
US,1 wk ahead inc case,2020-06-28,2020-06-25,260.7433201755594,NA
US,1 wk ahead inc case,2020-06-29,2020-06-25,248.75774833882008,NA
US,1 wk ahead inc case,2020-06-30,2020-06-25,236.68322602298255,NA
US,1 wk ahead inc case,2020-07-01,2020-06-25,225.28863097780894,NA
US,2 wk ahead inc case,2020-06-25,2020-06-25,296.7205728506311,NA
US,2 wk ahead inc case,2020-06-26,2020-06-25,285.22948070045186,NA
US,2 wk ahead inc case,2020-06-27,2020-06-25,273.03539730282125,NA
US,2 wk ahead inc case,2020-06-28,2020-06-25,261.3508977765122,NA
US,2 wk ahead inc case,2020-06-29,2020-06-25,249.41998059077608,NA
US,2 wk ahead inc case,2020-06-30,2020-06-25,237.30699570964094,NA
US,2 wk ahead inc case,2020-07-01,2020-06-25,225.9032959111927,NA
US,2 wk ahead inc case,2020-07-02,2020-06-25,214.64257687635066,NA
US,2 wk ahead inc case,2020-07-03,2020-06-25,203.2232621708226,NA
US,2 wk ahead inc case,2020-07-04,2020-06-25,192.31370286370105,NA
US,2 wk ahead inc case,2020-07-05,2020-06-25,181.3704812762444,NA
US,2 wk ahead inc case,2020-07-06,2020-06-25,171.1844607583578,NA
US,2 wk ahead inc case,2020-07-07,2020-06-25,162.20536082003989,NA
US,2 wk ahead inc case,2020-07-08,2020-06-25,153.03306318895625,NA
