location,target,target_end_date,forecast_date,point,quantile
US,1 wk ahead inc case,2020-06-22,2020-06-22,70783.27404982781,NA
US,1 wk ahead inc case,2020-06-23,2020-06-22,73173.18008550993,NA
US,1 wk ahead inc case,2020-06-24,2020-06-22,75532.87464038386,NA
US,1 wk ahead inc case,2020-06-25,2020-06-22,77850.7392366612,NA
US,1 wk ahead inc case,2020-06-26,2020-06-22,80114.72715509367,NA
US,1 wk ahead inc case,2020-06-27,2020-06-22,82312.46722348424,NA
US,1 wk ahead inc case,2020-06-28,2020-06-22,84431.37915438964,NA
US,2 wk ahead inc case,2020-06-22,2020-06-22,70656.68711308722,NA
US,2 wk ahead inc case,2020-06-23,2020-06-22,73046.75345069554,NA
US,2 wk ahead inc case,2020-06-24,2020-06-22,75407.24023014704,NA
US,2 wk ahead inc case,2020-06-25,2020-06-22,77726.57088505849,NA
US,2 wk ahead inc case,2020-06-26,2020-06-22,79992.7361904314,NA
US,2 wk ahead inc case,2020-06-27,2020-06-22,82193.39722389811,NA
US,2 wk ahead inc case,2020-06-28,2020-06-22,84315.99952374073,NA
US,2 wk ahead inc case,2020-06-29,2020-06-22,86347.90420389757,NA
US,2 wk ahead inc case,2020-06-30,2020-06-22,88276.52917536802,NA
US,2 wk ahead inc case,2020-07-01,2020-06-22,90089.49529681256,NA
US,2 wk ahead inc case,2020-07-02,2020-06-22,91774.7834643529,NA
US,2 wk ahead inc case,2020-07-03,2020-06-22,93320.89204014374,NA
US,2 wk ahead inc case,2020-07-04,2020-06-22,94716.99637883269,NA
US,2 wk ahead inc case,2020-07-05,2020-06-22,95953.10256583178,NA
