location,target,target_end_date,forecast_date,point,quantile
US,1 wk ahead inc case,2020-07-15,2020-07-15,72645.74545010127,NA
US,1 wk ahead inc case,2020-07-16,2020-07-15,73819.90531347542,NA
US,1 wk ahead inc case,2020-07-17,2020-07-15,74908.78375366297,NA
US,1 wk ahead inc case,2020-07-18,2020-07-15,75906.57744477081,NA
US,1 wk ahead inc case,2020-07-19,2020-07-15,76807.86218348247,NA
US,1 wk ahead inc case,2020-07-20,2020-07-15,77607.65329640644,NA
US,1 wk ahead inc case,2020-07-21,2020-07-15,78301.46298217338,NA
US,2 wk ahead inc case,2020-07-15,2020-07-15,72591.04183292903,NA
US,2 wk ahead inc case,2020-07-16,2020-07-15,73768.51629945597,NA
US,2 wk ahead inc case,2020-07-17,2020-07-15,74861.03678845149,NA
US,2 wk ahead inc case,2020-07-18,2020-07-15,75862.79002888531,NA
US,2 wk ahead inc case,2020-07-19,2020-07-15,76768.33857005242,NA
US,2 wk ahead inc case,2020-07-20,2020-07-15,77572.68112289463,NA
US,2 wk ahead inc case,2020-07-21,2020-07-15,78271.31014257677,NA
US,2 wk ahead inc case,2020-07-22,2020-07-15,78860.2641867596,NA
US,2 wk ahead inc case,2020-07-23,2020-07-15,79336.17561136649,NA
US,2 wk ahead inc case,2020-07-24,2020-07-15,79696.31104537053,NA
US,2 wk ahead inc case,2020-07-25,2020-07-15,79938.60487261052,NA
US,2 wk ahead inc case,2020-07-26,2020-07-15,80061.68431784982,NA
US,2 wk ahead inc case,2020-07-27,2020-07-15,80064.88631383193,NA
US,2 wk ahead inc case,2020-07-28,2020-07-15,79948.26496499889,NA
