location,target,target_end_date,forecast_date,point,quantile
US,1 wk ahead inc case,2020-06-25,2020-06-25,80911.28632711768,NA
US,1 wk ahead inc case,2020-06-26,2020-06-25,83702.03293766936,NA
US,1 wk ahead inc case,2020-06-27,2020-06-25,86467.84029939647,NA
US,1 wk ahead inc case,2020-06-28,2020-06-25,89195.96591396516,NA
US,1 wk ahead inc case,2020-06-29,2020-06-25,91873.10920605926,NA
US,1 wk ahead inc case,2020-06-30,2020-06-25,94485.51287808457,NA
US,1 wk ahead inc case,2020-07-01,2020-06-25,97019.08286096888,NA
US,2 wk ahead inc case,2020-06-25,2020-06-25,80766.9753955729,NA
US,2 wk ahead inc case,2020-06-26,2020-06-25,83557.42703306307,NA
US,2 wk ahead inc case,2020-06-27,2020-06-25,86323.60682046656,NA
US,2 wk ahead inc case,2020-06-28,2020-06-25,89052.82113228056,NA
US,2 wk ahead inc case,2020-06-29,2020-06-25,91731.81415949446,NA
US,2 wk ahead inc case,2020-06-30,2020-06-25,94346.86843716171,NA
US,2 wk ahead inc case,2020-07-01,2020-06-25,96883.9237369026,NA
US,2 wk ahead inc case,2020-07-02,2020-06-25,99328.7076021452,NA
US,2 wk ahead inc case,2020-07-03,2020-06-25,101666.88352814617,NA
US,2 wk ahead inc case,2020-07-04,2020-06-25,103884.20574924455,NA
US,2 wk ahead inc case,2020-07-05,2020-06-25,105966.68900577465,NA
US,2 wk ahead inc case,2020-07-06,2020-06-25,107900.77810130992,NA
US,2 wk ahead inc case,2020-07-07,2020-06-25,109673.52747902239,NA
US,2 wk ahead inc case,2020-07-08,2020-06-25,111272.7729550761,NA
