location,target,target_end_date,forecast_date,point,quantile
US,1 wk ahead inc case,2020-07-03,2020-07-03,57115.08294656925,NA
US,1 wk ahead inc case,2020-07-04,2020-07-03,58295.249624471224,NA
US,1 wk ahead inc case,2020-07-05,2020-07-03,59412.66617898743,NA
US,1 wk ahead inc case,2020-07-06,2020-07-03,60461.1742938008,NA
US,1 wk ahead inc case,2020-07-07,2020-07-03,61434.83344727553,NA
US,1 wk ahead inc case,2020-07-08,2020-07-03,62327.98828332317,NA
US,1 wk ahead inc case,2020-07-09,2020-07-03,63135.335175026674,NA
US,2 wk ahead inc case,2020-07-03,2020-07-03,57056.11710712053,NA
US,2 wk ahead inc case,2020-07-04,2020-07-03,58238.72308128346,NA
US,2 wk ahead inc case,2020-07-05,2020-07-03,59358.93507985727,NA
US,2 wk ahead inc case,2020-07-06,2020-07-03,60410.5931518335,NA
US,2 wk ahead inc case,2020-07-07,2020-07-03,61387.75142256213,NA
US,2 wk ahead inc case,2020-07-08,2020-07-03,62284.74540077996,NA
US,2 wk ahead inc case,2020-07-09,2020-07-03,63096.25842642878,NA
US,2 wk ahead inc case,2020-07-10,2020-07-03,63817.38639331971,NA
US,2 wk ahead inc case,2020-07-11,2020-07-03,64443.699112502974,NA
US,2 wk ahead inc case,2020-07-12,2020-07-03,64971.29710352803,NA
US,2 wk ahead inc case,2020-07-13,2020-07-03,65396.86258170002,NA
US,2 wk ahead inc case,2020-07-14,2020-07-03,65717.70334698987,NA
US,2 wk ahead inc case,2020-07-15,2020-07-03,65931.78921433685,NA
US,2 wk ahead inc case,2020-07-16,2020-07-03,66037.77889210804,NA
