location,target,target_end_date,forecast_date,point,quantile
US,1 wk ahead inc case,2020-06-14,2020-06-14,72065.65678792614,NA
US,1 wk ahead inc case,2020-06-15,2020-06-14,74981.07950472954,NA
US,1 wk ahead inc case,2020-06-16,2020-06-14,77896.06370066445,NA
US,1 wk ahead inc case,2020-06-17,2020-06-14,80796.88275424759,NA
US,1 wk ahead inc case,2020-06-18,2020-06-14,83668.87392490027,NA
US,1 wk ahead inc case,2020-06-19,2020-06-14,86496.53895453725,NA
US,1 wk ahead inc case,2020-06-20,2020-06-14,89263.66585774557,NA
US,2 wk ahead inc case,2020-06-14,2020-06-14,71902.47965874609,NA
US,2 wk ahead inc case,2020-06-15,2020-06-14,74815.96838460572,NA
US,2 wk ahead inc case,2020-06-16,2020-06-14,77729.76558560345,NA
US,2 wk ahead inc case,2020-06-17,2020-06-14,80630.22240772373,NA
US,2 wk ahead inc case,2020-06-18,2020-06-14,83502.75099245769,NA
US,2 wk ahead inc case,2020-06-19,2020-06-14,86331.92330479855,NA
US,2 wk ahead inc case,2020-06-20,2020-06-14,89101.59136966037,NA
US,2 wk ahead inc case,2020-06-21,2020-06-14,91795.03703489197,NA
US,2 wk ahead inc case,2020-06-22,2020-06-14,94395.13920270366,NA
US,2 wk ahead inc case,2020-06-23,2020-06-14,96884.5715552587,NA
US,2 wk ahead inc case,2020-06-24,2020-06-14,99246.01059347065,NA
US,2 wk ahead inc case,2020-06-25,2020-06-14,101462.36446309037,NA
US,2 wk ahead inc case,2020-06-26,2020-06-14,103517.01739965104,NA
US,2 wk ahead inc case,2020-06-27,2020-06-14,105394.07367327323,NA
