location,target,target_end_date,forecast_date,point,quantile
US,1 wk ahead inc case,2020-06-17,2020-06-17,19098.60221261344,NA
US,1 wk ahead inc case,2020-06-18,2020-06-17,19379.928695934992,NA
US,1 wk ahead inc case,2020-06-19,2020-06-17,19630.178252138565,NA
US,1 wk ahead inc case,2020-06-20,2020-06-17,19862.15022298139,NA
US,1 wk ahead inc case,2020-06-21,2020-06-17,20105.56215811747,NA
US,1 wk ahead inc case,2020-06-22,2020-06-17,20351.384131708823,NA
US,1 wk ahead inc case,2020-06-23,2020-06-17,20542.673752824325,NA
US,2 wk ahead inc case,2020-06-17,2020-06-17,19082.172009557587,NA
US,2 wk ahead inc case,2020-06-18,2020-06-17,19364.88910535688,NA
US,2 wk ahead inc case,2020-06-19,2020-06-17,19617.335460989194,NA
US,2 wk ahead inc case,2020-06-20,2020-06-17,19848.620276491667,NA
US,2 wk ahead inc case,2020-06-21,2020-06-17,20091.689259437488,NA
US,2 wk ahead inc case,2020-06-22,2020-06-17,20337.77869932959,NA
US,2 wk ahead inc case,2020-06-23,2020-06-17,20533.79269339705,NA
US,2 wk ahead inc case,2020-06-24,2020-06-17,20697.584589676128,NA
US,2 wk ahead inc case,2020-06-25,2020-06-17,20881.485220789527,NA
US,2 wk ahead inc case,2020-06-26,2020-06-17,20993.757088940543,NA
US,2 wk ahead inc case,2020-06-27,2020-06-17,21037.119709292772,NA
US,2 wk ahead inc case,2020-06-28,2020-06-17,21081.64527553646,NA
US,2 wk ahead inc case,2020-06-29,2020-06-17,21067.376639613485,NA
US,2 wk ahead inc case,2020-06-30,2020-06-17,21006.8505710075,NA
