location,target,target_end_date,forecast_date,point,quantile
US,1 wk ahead inc case,2020-06-19,2020-06-19,19831.629845698237,NA
US,1 wk ahead inc case,2020-06-20,2020-06-19,20066.002940791233,NA
US,1 wk ahead inc case,2020-06-21,2020-06-19,20312.079233826007,NA
US,1 wk ahead inc case,2020-06-22,2020-06-19,20560.800720113657,NA
US,1 wk ahead inc case,2020-06-23,2020-06-19,20755.617159395635,NA
US,1 wk ahead inc case,2020-06-24,2020-06-19,20922.620254497724,NA
US,1 wk ahead inc case,2020-06-25,2020-06-19,21107.41245263192,NA
US,2 wk ahead inc case,2020-06-19,2020-06-19,19819.054594322344,NA
US,2 wk ahead inc case,2020-06-20,2020-06-19,20052.79477084611,NA
US,2 wk ahead inc case,2020-06-21,2020-06-19,20298.523745431386,NA
US,2 wk ahead inc case,2020-06-22,2020-06-19,20547.451730847377,NA
US,2 wk ahead inc case,2020-06-23,2020-06-19,20746.90870588629,NA
US,2 wk ahead inc case,2020-06-24,2020-06-19,20911.945260697343,NA
US,2 wk ahead inc case,2020-06-25,2020-06-19,21098.221617147334,NA
US,2 wk ahead inc case,2020-06-26,2020-06-19,21213.107613850407,NA
US,2 wk ahead inc case,2020-06-27,2020-06-19,21257.13222341329,NA
US,2 wk ahead inc case,2020-06-28,2020-06-19,21301.8820753277,NA
US,2 wk ahead inc case,2020-06-29,2020-06-19,21288.781012010237,NA
US,2 wk ahead inc case,2020-06-30,2020-06-19,21226.889437690137,NA
US,2 wk ahead inc case,2020-07-01,2020-06-19,21172.77845241248,NA
US,2 wk ahead inc case,2020-07-02,2020-06-19,21084.79033695864,NA
