location,target,type,quantile,forecast_date,target_end_date,value
36,1 day ahead inc death,point,NA,2020-07-13,2020-07-14,292.8576587063267
36,1 day ahead inc death,point,NA,2020-07-14,2020-07-15,256.41001454283656
36,1 day ahead inc death,point,NA,2020-07-15,2020-07-16,79.37572766980045
36,1 day ahead inc death,point,NA,2020-07-16,2020-07-17,183.77441142421776
36,1 day ahead inc death,point,NA,2020-07-17,2020-07-18,272.24173499019923
36,1 day ahead inc death,point,NA,2020-07-18,2020-07-19,181.41213977480038
36,1 day ahead inc death,point,NA,2020-07-19,2020-07-20,46.7098585769772
36,1 day ahead inc death,point,NA,2020-07-20,2020-07-21,13.161532373268585
36,1 day ahead inc death,point,NA,2020-07-21,2020-07-22,0.0
36,1 day ahead inc death,point,NA,2020-07-22,2020-07-23,10.709639902475232
36,1 day ahead inc death,point,NA,2020-07-23,2020-07-24,82.57242509655345
36,1 day ahead inc death,point,NA,2020-07-24,2020-07-25,20.756431172770206
36,1 day ahead inc death,point,NA,2020-07-25,2020-07-26,0.2313742283852207
36,1 day ahead inc death,point,NA,2020-07-26,2020-07-27,179.34295432242132
36,1 day ahead inc death,point,NA,2020-07-27,2020-07-28,0.0
36,1 day ahead inc death,point,NA,2020-07-28,2020-07-29,16.49232750374823
36,1 day ahead inc death,point,NA,2020-07-29,2020-07-30,38.598413135709315
36,1 day ahead inc death,point,NA,2020-07-30,2020-07-31,19.276005982766087
36,1 day ahead inc death,point,NA,2020-07-31,2020-08-01,154.29690139136008
36,1 day ahead inc death,point,NA,2020-08-01,2020-08-02,83.98489482524022
36,1 day ahead inc death,point,NA,2020-08-02,2020-08-03,120.5842775679902
36,1 day ahead inc death,point,NA,2020-08-03,2020-08-04,79.04529235256149
36,1 day ahead inc death,point,NA,2020-08-04,2020-08-05,165.39538701628896
36,1 day ahead inc death,point,NA,2020-08-05,2020-08-06,124.86839872443383
36,1 day ahead inc death,point,NA,2020-08-06,2020-08-07,64.55756839821687
36,1 day ahead inc death,point,NA,2020-08-07,2020-08-08,71.02926478108682
36,1 day ahead inc death,point,NA,2020-08-08,2020-08-09,15.16237753034136
36,1 day ahead inc death,point,NA,2020-08-09,2020-08-10,0.0
36,1 day ahead inc death,point,NA,2020-08-10,2020-08-11,1.353180977674441
36,1 day ahead inc case,point,NA,2020-07-09,2020-07-10,5408.670595847383
36,1 day ahead inc case,point,NA,2020-07-10,2020-07-11,2293.431762991562
36,1 day ahead inc case,point,NA,2020-07-11,2020-07-12,0.0
36,1 day ahead inc case,point,NA,2020-07-12,2020-07-13,1853.5632153857387
36,1 day ahead inc case,point,NA,2020-07-13,2020-07-14,5357.18699360209
36,1 day ahead inc case,point,NA,2020-07-14,2020-07-15,6384.093032307383
36,1 day ahead inc case,point,NA,2020-07-15,2020-07-16,5625.655244837211
36,1 day ahead inc case,point,NA,2020-07-16,2020-07-17,0.0
36,1 day ahead inc case,point,NA,2020-07-17,2020-07-18,361.1395483291599
36,1 day ahead inc case,point,NA,2020-07-18,2020-07-19,1445.1888601549435
36,1 day ahead inc case,point,NA,2020-07-19,2020-07-20,274.2949280202938
36,1 day ahead inc case,point,NA,2020-07-20,2020-07-21,1225.3347915192808
36,1 day ahead inc case,point,NA,2020-07-21,2020-07-22,828.4602762360719
36,1 day ahead inc case,point,NA,2020-07-22,2020-07-23,1947.041055642685
36,1 day ahead inc case,point,NA,2020-07-23,2020-07-24,0.0
36,1 day ahead inc case,point,NA,2020-07-24,2020-07-25,572.3319909218244
36,1 day ahead inc case,point,NA,2020-07-25,2020-07-26,2378.665937281641
36,1 day ahead inc case,point,NA,2020-07-26,2020-07-27,2868.4400191577097
36,1 day ahead inc case,point,NA,2020-07-27,2020-07-28,1863.8126322284843
36,1 day ahead inc case,point,NA,2020-07-28,2020-07-29,1036.8099174095987
36,1 day ahead inc case,point,NA,2020-07-29,2020-07-30,2974.840659982159
36,1 day ahead inc case,point,NA,2020-07-30,2020-07-31,1514.7052435752612
36,1 day ahead inc case,point,NA,2020-07-31,2020-08-01,4264.42052291222
36,1 day ahead inc case,point,NA,2020-08-01,2020-08-02,2970.2786247148033
36,1 day ahead inc case,point,NA,2020-08-02,2020-08-03,2904.5784714053752
36,1 day ahead inc case,point,NA,2020-08-03,2020-08-04,3597.773636404234
36,1 day ahead inc case,point,NA,2020-08-04,2020-08-05,1901.0081654840833
36,1 day ahead inc case,point,NA,2020-08-05,2020-08-06,940.2741305582458
36,1 day ahead inc case,point,NA,2020-08-06,2020-08-07,4120.246116816641
36,1 day ahead inc case,point,NA,2020-08-07,2020-08-08,3770.771760863052
36,1 day ahead inc case,point,NA,2020-08-08,2020-08-09,668.3284637450761
36,1 day ahead inc case,point,NA,2020-08-09,2020-08-10,2326.8912723344183
36,1 day ahead inc case,point,NA,2020-08-10,2020-08-11,3154.6336735890327
06,1 day ahead inc death,point,NA,2020-07-09,2020-07-10,56.45421727767181
06,1 day ahead inc death,point,NA,2020-07-10,2020-07-11,66.03481399672998
06,1 day ahead inc death,point,NA,2020-07-11,2020-07-12,61.88292213021478
