location,target,target_end_date,forecast_date,point,quantile
US,Daily Cases,2020-07-20,2020-07-19,1774968.2,NA
US,Daily Cases,2020-07-21,2020-07-19,1808562.6,NA
US,Daily Cases,2020-07-22,2020-07-19,1843274.2,NA
US,Daily Cases,2020-07-23,2020-07-19,1879175.4,NA
US,Daily Cases,2020-07-24,2020-07-19,1916229.1,NA
US,Daily Cases,2020-07-25,2020-07-19,1954368.2,NA
US,Daily Cases,2020-07-26,2020-07-19,1993443,NA
US,Daily Cases,2020-07-27,2020-07-19,2033256,NA
US,Daily Cases,2020-07-28,2020-07-19,2073523.2,NA
US,Daily Cases,2020-07-29,2020-07-19,2114276.5,NA
US,Daily Cases,2020-07-30,2020-07-19,2155347.5,NA
US,Daily Cases,2020-07-31,2020-07-19,2196807.2,NA
US,Daily Cases,2020-08-01,2020-07-19,2238442.2,NA
