location,target,target_end_date,forecast_date,point,quantile
US,Daily Cases,2020-07-02,2020-07-01,37299.484,NA
US,Daily Cases,2020-07-03,2020-07-01,38100.29,NA
US,Daily Cases,2020-07-04,2020-07-01,38854.63,NA
US,Daily Cases,2020-07-05,2020-07-01,39626.562,NA
US,Daily Cases,2020-07-06,2020-07-01,40267.066,NA
US,Daily Cases,2020-07-07,2020-07-01,40841.76,NA
US,Daily Cases,2020-07-08,2020-07-01,41016.05,NA
US,Daily Cases,2020-07-09,2020-07-01,40983.277,NA
US,Daily Cases,2020-07-10,2020-07-01,41030.855,NA
US,Daily Cases,2020-07-11,2020-07-01,41375.887,NA
US,Daily Cases,2020-07-12,2020-07-01,42140.51,NA
US,Daily Cases,2020-07-13,2020-07-01,43137.836,NA
US,Daily Cases,2020-07-14,2020-07-01,44194.47,NA
US,Daily Cases,2020-07-15,2020-07-01,44838.613,NA
US,Daily Cases,2020-07-16,2020-07-01,45176.504,NA
US,Daily Cases,2020-07-17,2020-07-01,45409.695,NA
US,Daily Cases,2020-07-18,2020-07-01,45748.625,NA
US,Daily Cases,2020-07-19,2020-07-01,46185.96,NA
US,Daily Cases,2020-07-20,2020-07-01,46586.402,NA
US,Daily Cases,2020-07-21,2020-07-01,46726.113,NA
US,Daily Cases,2020-07-22,2020-07-01,46454.86,NA
US,Daily Cases,2020-07-23,2020-07-01,45779.113,NA
US,Daily Cases,2020-07-24,2020-07-01,45111.215,NA
US,Daily Cases,2020-07-25,2020-07-01,44681.5,NA
US,Daily Cases,2020-07-26,2020-07-01,44770.844,NA
US,Daily Cases,2020-07-27,2020-07-01,45071.49,NA
US,Daily Cases,2020-07-28,2020-07-01,45277.156,NA
US,Daily Cases,2020-07-29,2020-07-01,46419.715,NA
US,Daily Cases,2020-07-30,2020-07-01,48005.6,NA
US,Daily Cases,2020-07-31,2020-07-01,49241.46,NA
US,Daily Cases,2020-08-01,2020-07-01,49729.082,NA
US,Daily Cases,2020-08-02,2020-07-01,49357.67,NA
