,location,target,target_end_date,forecast_date,point,quantile
56,US,1 wk ahead inc case,2020-06-09,2020-06-09,83106.04739309645,NA
57,US,1 wk ahead inc case,2020-06-10,2020-06-09,87595.83288501593,NA
58,US,1 wk ahead inc case,2020-06-11,2020-06-09,92223.94555782423,NA
59,US,1 wk ahead inc case,2020-06-12,2020-06-09,96981.24749885943,NA
60,US,1 wk ahead inc case,2020-06-13,2020-06-09,101856.6419344936,NA
61,US,1 wk ahead inc case,2020-06-14,2020-06-09,106836.96878640281,NA
62,US,1 wk ahead inc case,2020-06-15,2020-06-09,111906.91899237406,NA
