,location,target,target_end_date,forecast_date,point,quantile
154,US,1 wk ahead inc case,2020-06-23,2020-06-23,18894.91398099665,NA
155,US,1 wk ahead inc case,2020-06-24,2020-06-23,19098.1811375734,NA
156,US,1 wk ahead inc case,2020-06-25,2020-06-23,19275.22828177934,NA
157,US,1 wk ahead inc case,2020-06-26,2020-06-23,19425.032311947918,NA
158,US,1 wk ahead inc case,2020-06-27,2020-06-23,19546.718029247328,NA
159,US,1 wk ahead inc case,2020-06-28,2020-06-23,19639.568873956512,NA
160,US,1 wk ahead inc case,2020-06-29,2020-06-23,19703.035931310504,NA
