location,target,target_end_date,forecast_date,point,quantile
US,1 wk ahead inc case,2020-06-17,2020-06-17,61327.247373032835,NA
US,1 wk ahead inc case,2020-06-18,2020-06-17,63816.03838269901,NA
US,1 wk ahead inc case,2020-06-19,2020-06-17,66322.17067103933,NA
US,1 wk ahead inc case,2020-06-20,2020-06-17,68836.52595617366,NA
US,1 wk ahead inc case,2020-06-21,2020-06-17,71349.2210344129,NA
US,1 wk ahead inc case,2020-06-22,2020-06-17,73849.64575197043,NA
US,1 wk ahead inc case,2020-06-23,2020-06-17,76326.51541842942,NA
