,location,target,target_end_date,forecast_date,point,quantile
196,US,1 wk ahead inc case,2020-06-29,2020-06-29,62643.60786174576,NA
197,US,1 wk ahead inc case,2020-06-30,2020-06-29,64700.76488954745,NA
198,US,1 wk ahead inc case,2020-07-01,2020-06-29,66746.25207561761,NA
199,US,1 wk ahead inc case,2020-07-02,2020-06-29,68772.23670291435,NA
200,US,1 wk ahead inc case,2020-07-03,2020-06-29,70770.5176636442,NA
201,US,1 wk ahead inc case,2020-07-04,2020-06-29,72732.57401951512,NA
202,US,1 wk ahead inc case,2020-07-05,2020-06-29,74649.62391947607,NA
