,location,target,target_end_date,forecast_date,point,quantile
252,US,1 wk ahead inc case,2020-07-07,2020-07-07,76595.08776337662,NA
253,US,1 wk ahead inc case,2020-07-08,2020-07-07,78954.6128307141,NA
254,US,1 wk ahead inc case,2020-07-09,2020-07-07,81294.46083623164,NA
255,US,1 wk ahead inc case,2020-07-10,2020-07-07,83605.8984345777,NA
256,US,1 wk ahead inc case,2020-07-11,2020-07-07,85879.84687989358,NA
257,US,1 wk ahead inc case,2020-07-12,2020-07-07,88106.93712018663,NA
258,US,1 wk ahead inc case,2020-07-13,2020-07-07,90277.57442480263,NA
