location,target,target_end_date,forecast_date,point,quantile
US,1 wk ahead inc case,2020-06-12,2020-06-12,58638.73490813485,NA
US,1 wk ahead inc case,2020-06-13,2020-06-12,61230.560048799576,NA
US,1 wk ahead inc case,2020-06-14,2020-06-12,63855.772637918984,NA
US,1 wk ahead inc case,2020-06-15,2020-06-12,66505.41815690632,NA
US,1 wk ahead inc case,2020-06-16,2020-06-12,69169.60334459227,NA
US,1 wk ahead inc case,2020-06-17,2020-06-12,71837.5148193018,NA
US,1 wk ahead inc case,2020-06-18,2020-06-12,74497.45654873925,NA
