location,target,target_end_date,forecast_date,point,quantile
US,Daily Cases,2020-06-30,2020-06-29,1378322,NA
US,Daily Cases,2020-07-01,2020-06-29,1393209.1,NA
US,Daily Cases,2020-07-02,2020-06-29,1408900.9,NA
US,Daily Cases,2020-07-03,2020-06-29,1425602.8,NA
US,Daily Cases,2020-07-04,2020-06-29,1443279,NA
US,Daily Cases,2020-07-05,2020-06-29,1462046.9,NA
US,Daily Cases,2020-07-06,2020-06-29,1481747.8,NA
US,Daily Cases,2020-07-07,2020-06-29,1502393.1,NA
US,Daily Cases,2020-07-08,2020-06-29,1523693.1,NA
US,Daily Cases,2020-07-09,2020-06-29,1545643.9,NA
US,Daily Cases,2020-07-10,2020-06-29,1568004.5,NA
US,Daily Cases,2020-07-11,2020-06-29,1590837,NA
US,Daily Cases,2020-07-12,2020-06-29,1613982.9,NA
US,Daily Cases,2020-07-13,2020-06-29,1637555.6,NA
US,Daily Cases,2020-07-14,2020-06-29,1661409.1,NA
US,Daily Cases,2020-07-15,2020-06-29,1685598.2,NA
US,Daily Cases,2020-07-16,2020-06-29,1710000.4,NA
US,Daily Cases,2020-07-17,2020-06-29,1734707.8,NA
US,Daily Cases,2020-07-18,2020-06-29,1759631,NA
US,Daily Cases,2020-07-19,2020-06-29,1784899.9,NA
US,Daily Cases,2020-07-20,2020-06-29,1810420.8,NA
US,Daily Cases,2020-07-21,2020-06-29,1836188.9,NA
US,Daily Cases,2020-07-22,2020-06-29,1862223.4,NA
US,Daily Cases,2020-07-23,2020-06-29,1888371.4,NA
US,Daily Cases,2020-07-24,2020-06-29,1914630.6,NA
US,Daily Cases,2020-07-25,2020-06-29,1940883.4,NA
US,Daily Cases,2020-07-26,2020-06-29,1967175.5,NA
US,Daily Cases,2020-07-27,2020-06-29,1993355.5,NA
US,Daily Cases,2020-07-28,2020-06-29,2019473.4,NA
US,Daily Cases,2020-07-29,2020-06-29,2045493.5,NA
US,Daily Cases,2020-07-30,2020-06-29,2071613.5,NA
US,Daily Cases,2020-07-31,2020-06-29,2097733,NA
US,Daily Cases,2020-08-01,2020-06-29,2123993,NA
