location,target,target_end_date,forecast_date,point,quantile
US,Daily Cases,2020-07-13,2020-07-12,1482056.2,NA
US,Daily Cases,2020-07-14,2020-07-12,1506492.1,NA
US,Daily Cases,2020-07-15,2020-07-12,1531772.6,NA
US,Daily Cases,2020-07-16,2020-07-12,1558267,NA
US,Daily Cases,2020-07-17,2020-07-12,1585850.1,NA
US,Daily Cases,2020-07-18,2020-07-12,1614835.1,NA
US,Daily Cases,2020-07-19,2020-07-12,1644986.2,NA
US,Daily Cases,2020-07-20,2020-07-12,1676346.8,NA
US,Daily Cases,2020-07-21,2020-07-12,1708505.8,NA
US,Daily Cases,2020-07-22,2020-07-12,1741412.6,NA
US,Daily Cases,2020-07-23,2020-07-12,1774662.5,NA
US,Daily Cases,2020-07-24,2020-07-12,1808248,NA
US,Daily Cases,2020-07-25,2020-07-12,1841832.8,NA
US,Daily Cases,2020-07-26,2020-07-12,1875461.8,NA
US,Daily Cases,2020-07-27,2020-07-12,1908818.2,NA
US,Daily Cases,2020-07-28,2020-07-12,1942031.9,NA
US,Daily Cases,2020-07-29,2020-07-12,1975032.1,NA
US,Daily Cases,2020-07-30,2020-07-12,2008217.2,NA
US,Daily Cases,2020-07-31,2020-07-12,2041426.2,NA
US,Daily Cases,2020-08-01,2020-07-12,2074986.9,NA
