location,target,target_end_date,forecast_date,point,quantile
US,Daily Cases,2020-07-18,2020-07-17,69118.68,NA
US,Daily Cases,2020-07-19,2020-07-17,70130.805,NA
US,Daily Cases,2020-07-20,2020-07-17,71066.02,NA
US,Daily Cases,2020-07-21,2020-07-17,71710.19,NA
US,Daily Cases,2020-07-22,2020-07-17,71751.19,NA
US,Daily Cases,2020-07-23,2020-07-17,71152.7,NA
US,Daily Cases,2020-07-24,2020-07-17,70340.87,NA
US,Daily Cases,2020-07-25,2020-07-17,69720.336,NA
US,Daily Cases,2020-07-26,2020-07-17,69794.664,NA
US,Daily Cases,2020-07-27,2020-07-17,70627.36,NA
US,Daily Cases,2020-07-28,2020-07-17,71172.59,NA
US,Daily Cases,2020-07-29,2020-07-17,73606.28,NA
US,Daily Cases,2020-07-30,2020-07-17,77019.98,NA
US,Daily Cases,2020-07-31,2020-07-17,80726.16,NA
US,Daily Cases,2020-08-01,2020-07-17,83400.68,NA
US,Daily Cases,2020-08-02,2020-07-17,84020.97,NA
