location,target,target_end_date,forecast_date,point,quantile
US,Daily Cases,2020-07-20,2020-07-19,71846.23,NA
US,Daily Cases,2020-07-21,2020-07-19,73498.77,NA
US,Daily Cases,2020-07-22,2020-07-19,74504.69,NA
US,Daily Cases,2020-07-23,2020-07-19,74536.984,NA
US,Daily Cases,2020-07-24,2020-07-19,73886.74,NA
US,Daily Cases,2020-07-25,2020-07-19,72984.57,NA
US,Daily Cases,2020-07-26,2020-07-19,72457.09,NA
US,Daily Cases,2020-07-27,2020-07-19,72547.414,NA
US,Daily Cases,2020-07-28,2020-07-19,72349.23,NA
US,Daily Cases,2020-07-29,2020-07-19,74138.8,NA
US,Daily Cases,2020-07-30,2020-07-19,77145.14,NA
US,Daily Cases,2020-07-31,2020-07-19,80799.69,NA
US,Daily Cases,2020-08-01,2020-07-19,83670.336,NA
US,Daily Cases,2020-08-02,2020-07-19,84592.875,NA
