location,target,target_end_date,forecast_date,point,quantile
US,Cumulative Cases,2020-07-03,2020-07-02,2502416.2,NA
US,Cumulative Cases,2020-07-04,2020-07-02,2528123.5,NA
US,Cumulative Cases,2020-07-05,2020-07-02,2555066.8,NA
US,Cumulative Cases,2020-07-06,2020-07-02,2583393,NA
US,Cumulative Cases,2020-07-07,2020-07-02,2613074.8,NA
US,Cumulative Cases,2020-07-08,2020-07-02,2643992.8,NA
US,Cumulative Cases,2020-07-09,2020-07-02,2676011.8,NA
US,Cumulative Cases,2020-07-10,2020-07-02,2708985.8,NA
US,Cumulative Cases,2020-07-11,2020-07-02,2742782,NA
US,Cumulative Cases,2020-07-12,2020-07-02,2777285.5,NA
US,Cumulative Cases,2020-07-13,2020-07-02,2812414,NA
US,Cumulative Cases,2020-07-14,2020-07-02,2847986.2,NA
US,Cumulative Cases,2020-07-15,2020-07-02,2883849.5,NA
US,Cumulative Cases,2020-07-16,2020-07-02,2919911.5,NA
US,Cumulative Cases,2020-07-17,2020-07-02,2956093.5,NA
US,Cumulative Cases,2020-07-18,2020-07-02,2992348,NA
US,Cumulative Cases,2020-07-19,2020-07-02,3028673.8,NA
US,Cumulative Cases,2020-07-20,2020-07-02,3065030.8,NA
US,Cumulative Cases,2020-07-21,2020-07-02,3101312.5,NA
US,Cumulative Cases,2020-07-22,2020-07-02,3137382.8,NA
US,Cumulative Cases,2020-07-23,2020-07-02,3173132,NA
US,Cumulative Cases,2020-07-24,2020-07-02,3208180.8,NA
US,Cumulative Cases,2020-07-25,2020-07-02,3243020.8,NA
US,Cumulative Cases,2020-07-26,2020-07-02,3277563.5,NA
US,Cumulative Cases,2020-07-27,2020-07-02,3311758.8,NA
US,Cumulative Cases,2020-07-28,2020-07-02,3345551.8,NA
US,Cumulative Cases,2020-07-29,2020-07-02,3379032.8,NA
US,Cumulative Cases,2020-07-30,2020-07-02,3412223.2,NA
US,Cumulative Cases,2020-07-31,2020-07-02,3445109.2,NA
US,Cumulative Cases,2020-08-01,2020-07-02,3477698,NA
