,location,target,target_end_date,forecast_date,point,quantile
315,US,1 wk ahead inc case,2020-06-16,2020-06-16,23306.148,NA
316,US,1 wk ahead inc case,2020-06-17,2020-06-16,23591.591,NA
317,US,1 wk ahead inc case,2020-06-18,2020-06-16,24814.28,NA
318,US,1 wk ahead inc case,2020-06-19,2020-06-16,25130.009,NA
319,US,1 wk ahead inc case,2020-06-20,2020-06-16,25124.339,NA
320,US,1 wk ahead inc case,2020-06-21,2020-06-16,19074.325,NA
321,US,1 wk ahead inc case,2020-06-22,2020-06-16,23163.74,NA
322,US,2 wk ahead inc case,2020-06-16,2020-06-16,23306.148,NA
323,US,2 wk ahead inc case,2020-06-17,2020-06-16,23591.591,NA
324,US,2 wk ahead inc case,2020-06-18,2020-06-16,24814.28,NA
325,US,2 wk ahead inc case,2020-06-19,2020-06-16,25130.009,NA
326,US,2 wk ahead inc case,2020-06-20,2020-06-16,25124.339,NA
327,US,2 wk ahead inc case,2020-06-21,2020-06-16,19074.325,NA
328,US,2 wk ahead inc case,2020-06-22,2020-06-16,23163.74,NA
329,US,2 wk ahead inc case,2020-06-23,2020-06-16,23855.408,NA
330,US,2 wk ahead inc case,2020-06-24,2020-06-16,23976.382,NA
331,US,2 wk ahead inc case,2020-06-25,2020-06-16,25004.439,NA
332,US,2 wk ahead inc case,2020-06-26,2020-06-16,25130.009,NA
333,US,2 wk ahead inc case,2020-06-27,2020-06-16,25130.009,NA
334,US,2 wk ahead inc case,2020-06-28,2020-06-16,20024.341,NA
335,US,2 wk ahead inc case,2020-06-29,2020-06-16,23822.287,NA
