location,target,target_end_date,forecast_date,point,quantile
US,1 wk ahead inc case,2020-06-28,2020-06-28,36496.243,NA
US,1 wk ahead inc case,2020-06-29,2020-06-28,39843.521,NA
US,1 wk ahead inc case,2020-06-30,2020-06-28,40161.027,NA
US,1 wk ahead inc case,2020-07-01,2020-06-28,40550.409,NA
US,1 wk ahead inc case,2020-07-02,2020-06-28,41993.086,NA
US,1 wk ahead inc case,2020-07-03,2020-06-28,42335.019,NA
US,1 wk ahead inc case,2020-07-04,2020-06-28,37039.098,NA
US,2 wk ahead inc case,2020-06-28,2020-06-28,36496.243,NA
US,2 wk ahead inc case,2020-06-29,2020-06-28,39843.521,NA
US,2 wk ahead inc case,2020-06-30,2020-06-28,40161.027,NA
US,2 wk ahead inc case,2020-07-01,2020-06-28,40550.409,NA
US,2 wk ahead inc case,2020-07-02,2020-06-28,41993.086,NA
US,2 wk ahead inc case,2020-07-03,2020-06-28,42335.019,NA
US,2 wk ahead inc case,2020-07-04,2020-06-28,37039.098,NA
US,2 wk ahead inc case,2020-07-05,2020-06-28,36443.021,NA
US,2 wk ahead inc case,2020-07-06,2020-06-28,39969.02,NA
US,2 wk ahead inc case,2020-07-07,2020-06-28,40263.931,NA
US,2 wk ahead inc case,2020-07-08,2020-06-28,40357.848,NA
US,2 wk ahead inc case,2020-07-09,2020-06-28,41185.703,NA
US,2 wk ahead inc case,2020-07-10,2020-06-28,42354.608,NA
US,2 wk ahead inc case,2020-07-11,2020-06-28,42440.827,NA
