location,target,target_end_date,forecast_date,point,quantile
US,1 wk ahead inc case,2020-06-05,2020-06-05,22524.133,NA
US,1 wk ahead inc case,2020-06-06,2020-06-05,22524.133,NA
US,1 wk ahead inc case,2020-06-07,2020-06-05,19426.305,NA
US,1 wk ahead inc case,2020-06-08,2020-06-05,21244.069,NA
US,1 wk ahead inc case,2020-06-09,2020-06-05,21325.148,NA
US,1 wk ahead inc case,2020-06-10,2020-06-05,22026.108,NA
US,1 wk ahead inc case,2020-06-11,2020-06-05,22447.443,NA
US,2 wk ahead inc case,2020-06-05,2020-06-05,22524.133,NA
US,2 wk ahead inc case,2020-06-06,2020-06-05,22524.133,NA
US,2 wk ahead inc case,2020-06-07,2020-06-05,19426.305,NA
US,2 wk ahead inc case,2020-06-08,2020-06-05,21244.069,NA
US,2 wk ahead inc case,2020-06-09,2020-06-05,21325.148,NA
US,2 wk ahead inc case,2020-06-10,2020-06-05,22026.108,NA
US,2 wk ahead inc case,2020-06-11,2020-06-05,22447.443,NA
US,2 wk ahead inc case,2020-06-12,2020-06-05,22524.133,NA
US,2 wk ahead inc case,2020-06-13,2020-06-05,22524.133,NA
US,2 wk ahead inc case,2020-06-14,2020-06-05,21161.45,NA
US,2 wk ahead inc case,2020-06-15,2020-06-05,22120.182,NA
US,2 wk ahead inc case,2020-06-16,2020-06-05,22518.943,NA
US,2 wk ahead inc case,2020-06-17,2020-06-05,22525.915,NA
US,2 wk ahead inc case,2020-06-18,2020-06-05,22524.133,NA
